Disease:sickle-cell_disease	Target:humanized_igg2	Drug:selg2
Disease:myocardial_infarction	Target:leukotriene_a(4)leukotriene_a-4_hydrolase_hydrolase	Drug:dg051
Disease:myocardial_infarction	Target:lta-4_hydrolase	Drug:dg051
Disease:myocardial_infarction	Target:lta-h	Drug:dg051
Disease:myocardial_infarction	Target:lta4h	Drug:dg051
Disease:myocardial_infarction	Target:leukotriene_a(4)_hydrolase	Drug:dg051
Disease:myocardial_infarction	Target:leukotriene_a4_hydrolase	Drug:dg051
Disease:myocardial_infarction	Target:leukotriene_a-4_hydrolase	Drug:dg051
Disease:myocardial_infarction	Target:npr-b	Drug:cd-np
Disease:myocardial_infarction	Target:guanylate_cyclase_b	Drug:cd-np
Disease:myocardial_infarction	Target:gc-b	Drug:cd-np
Disease:myocardial_infarction	Target:atrial_natriuretic_peptide_receptor_b	Drug:cd-np
Disease:myocardial_infarction	Target:anp-b	Drug:cd-np
Disease:myocardial_infarction	Target:anprb	Drug:cd-np
Disease:myocardial_infarction	Target:atrial_natriuretic_peptide_b-type_receptor	Drug:cd-np
Disease:allergy	Target:pde46	Drug:cr-3465
Disease:allergy	Target:dpde2	Drug:cr-3465
Disease:allergy	Target:selectin	Drug:cy-1787
Disease:small-cell_lung_cancer	Target:lysine_specific_histone_demethylase_1	Drug:gsk2879552
Disease:small-cell_lung_cancer	Target:lysinespecific_histone_demethylase_1a	Drug:gsk2879552
Disease:small-cell_lung_cancer	Target:braf35hdac_complex_protein_bhc110	Drug:gsk2879552
Disease:small-cell_lung_cancer	Target:flavincontaining_amine_oxidase_domaincontaining_protein_2	Drug:gsk2879552
Disease:thrombosi	Target:thrombin	Drug:mpc-0920
Disease:thrombosi	Target:prothrombin	Drug:mpc-0920
Disease:thrombosi	Target:coagulation_factor_ii	Drug:mpc-0920
Disease:thrombosi	Target:fxa	Drug:ssr-126517e
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:ssr-126517e
Disease:thrombosi	Target:coagulation_factor_xa	Drug:ssr-126517e
Disease:thrombosi	Target:factor_xa	Drug:ssr-126517e
Disease:thrombosi	Target:thrombin-activable_fibrinolysis_inhibitor	Drug:uk-396082
Disease:thrombosi	Target:cpu	Drug:uk-396082
Disease:thrombosi	Target:carboxypeptidase_b2	Drug:uk-396082
Disease:thrombosi	Target:pcpb	Drug:uk-396082
Disease:thrombosi	Target:tafi	Drug:uk-396082
Disease:thrombosi	Target:carboxypeptidase_u	Drug:uk-396082
Disease:thrombosi	Target:plasma_carboxypeptidase_b	Drug:uk-396082
Disease:thrombosi	Target:fxa	Drug:ly-517717
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:ly-517717
Disease:thrombosi	Target:coagulation_factor_xa	Drug:ly-517717
Disease:thrombosi	Target:factor_xa	Drug:ly-517717
Disease:thrombosi	Target:ptc	Drug:rb-006
Disease:thrombosi	Target:coagulation_factor_ix	Drug:rb-006
Disease:thrombosi	Target:factor_ix	Drug:rb-006
Disease:thrombosi	Target:christmas_factor	Drug:rb-006
Disease:thrombosi	Target:plasma_thromboplastin_component	Drug:rb-006
Disease:thrombosi	Target:fxa	Drug:gcc-4401
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:gcc-4401
Disease:thrombosi	Target:coagulation_factor_xa	Drug:gcc-4401
Disease:thrombosi	Target:factor_xa	Drug:gcc-4401
Disease:thrombosi	Target:thrombin	Drug:azd0837
Disease:thrombosi	Target:prothrombin	Drug:azd0837
Disease:thrombosi	Target:coagulation_factor_ii	Drug:azd0837
Disease:thrombosi	Target:fxa	Drug:tak-442
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:tak-442
Disease:thrombosi	Target:coagulation_factor_xa	Drug:tak-442
Disease:thrombosi	Target:factor_xa	Drug:tak-442
Disease:thrombosi	Target:mrna_of_integrin_beta_3	Drug:mk-852
Disease:thrombosi	Target:itgb3_(mrna)	Drug:mk-852
Disease:thrombosi	Target:cd61_(mrna)	Drug:mk-852
Disease:thrombosi	Target:integrin_beta3_(mrna)	Drug:mk-852
Disease:thrombosi	Target:platelet_membrane_glycoprotein_iiia_(mrna)	Drug:mk-852
Disease:thrombosi	Target:gpiiia_(mrna)	Drug:mk-852
Disease:thrombosi	Target:mrna_of_integrin_beta_3	Drug:l-734217
Disease:thrombosi	Target:itgb3_(mrna)	Drug:l-734217
Disease:thrombosi	Target:cd61_(mrna)	Drug:l-734217
Disease:thrombosi	Target:integrin_beta3_(mrna)	Drug:l-734217
Disease:thrombosi	Target:platelet_membrane_glycoprotein_iiia_(mrna)	Drug:l-734217
Disease:thrombosi	Target:gpiiia_(mrna)	Drug:l-734217
Disease:thrombosi	Target:p2y_purinoceptor_12	Drug:cangrelor
Disease:thrombosi	Target:p2y(adp)	Drug:cangrelor
Disease:thrombosi	Target:p2y(ac)	Drug:cangrelor
Disease:thrombosi	Target:p2y12_platelet_adp_receptor	Drug:cangrelor
Disease:thrombosi	Target:adpg-r	Drug:cangrelor
Disease:thrombosi	Target:sp1999	Drug:cangrelor
Disease:thrombosi	Target:adp-glucose_receptor	Drug:cangrelor
Disease:thrombosi	Target:p2t(ac)	Drug:cangrelor
Disease:thrombosi	Target:p2y(cyc)	Drug:cangrelor
Disease:thrombosi	Target:p2y(adp)p2y_purinoceptor_12	Drug:cangrelor
Disease:thrombosi	Target:adp-receptor	Drug:cangrelor
Disease:thrombosi	Target:p2y12	Drug:cangrelor
Disease:thrombosi	Target:nucleotide_p2y(12)_receptor	Drug:cangrelor
Disease:thrombosi	Target:adenosine_p2y12_receptor	Drug:cangrelor
Disease:thrombosi	Target:fxa	Drug:jtv-803
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:jtv-803
Disease:thrombosi	Target:coagulation_factor_xa	Drug:jtv-803
Disease:thrombosi	Target:factor_xa	Drug:jtv-803
Disease:thrombosi	Target:fxa	Drug:zd-4927
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:zd-4927
Disease:thrombosi	Target:coagulation_factor_xa	Drug:zd-4927
Disease:thrombosi	Target:factor_xa	Drug:zd-4927
Disease:thrombosi	Target:mrna_of_integrin_beta_3	Drug:elarofiban
Disease:thrombosi	Target:itgb3_(mrna)	Drug:elarofiban
Disease:thrombosi	Target:cd61_(mrna)	Drug:elarofiban
Disease:thrombosi	Target:integrin_beta3_(mrna)	Drug:elarofiban
Disease:thrombosi	Target:platelet_membrane_glycoprotein_iiia_(mrna)	Drug:elarofiban
Disease:thrombosi	Target:gpiiia_(mrna)	Drug:elarofiban
Disease:thrombosi	Target:platelet_gpiib-iiia	Drug:tak-029
Disease:thrombosi	Target:glycoprotein_gp_iib/iiia	Drug:tak-029
Disease:thrombosi	Target:fibrinogen_receptor	Drug:tak-029
Disease:thrombosi	Target:platelet_glycoprotein_iib/iiia_fibrinogen_receptor_complex	Drug:tak-029
Disease:thrombosi	Target:alpha(iib)beta(3)_integrin_receptor	Drug:tak-029
Disease:thrombosi	Target:integrin_alpha_iib_beta_3	Drug:tak-029
Disease:thrombosi	Target:gpiib-iiia_receptor	Drug:tak-029
Disease:thrombosi	Target:gp_iib/iiia	Drug:tak-029
Disease:thrombosi	Target:glycoprotein_iib/iiia	Drug:tak-029
Disease:thrombosi	Target:integrin_iibbeta3	Drug:tak-029
Disease:thrombosi	Target:glycoprotein_iib/iiia_receptor	Drug:tak-029
Disease:thrombosi	Target:platelet_integrin_iibbeta3	Drug:tak-029
Disease:thrombosi	Target:integrin_iib_beta3	Drug:tak-029
Disease:thrombosi	Target:platelet_gpiib/iiia_receptor	Drug:tak-029
Disease:thrombosi	Target:gpiib/iiia_receptor	Drug:tak-029
Disease:thrombosi	Target:integrin_alphaiibbeta3	Drug:tak-029
Disease:thrombosi	Target:serpinc1	Drug:mer-102
Disease:thrombosi	Target:atiii	Drug:mer-102
Disease:thrombosi	Target:at3	Drug:mer-102
Disease:thrombosi	Target:antithrombin-iii	Drug:mer-102
Disease:thrombosi	Target:platelet_gpiib-iiia	Drug:ajvw2
Disease:thrombosi	Target:glycoprotein_gp_iib/iiia	Drug:ajvw2
Disease:thrombosi	Target:fibrinogen_receptor	Drug:ajvw2
Disease:thrombosi	Target:platelet_glycoprotein_iib/iiia_fibrinogen_receptor_complex	Drug:ajvw2
Disease:thrombosi	Target:alpha(iib)beta(3)_integrin_receptor	Drug:ajvw2
Disease:thrombosi	Target:integrin_alpha_iib_beta_3	Drug:ajvw2
Disease:thrombosi	Target:gpiib-iiia_receptor	Drug:ajvw2
Disease:thrombosi	Target:gp_iib/iiia	Drug:ajvw2
Disease:thrombosi	Target:glycoprotein_iib/iiia	Drug:ajvw2
Disease:thrombosi	Target:integrin_iibbeta3	Drug:ajvw2
Disease:thrombosi	Target:glycoprotein_iib/iiia_receptor	Drug:ajvw2
Disease:thrombosi	Target:platelet_integrin_iibbeta3	Drug:ajvw2
Disease:thrombosi	Target:integrin_iib_beta3	Drug:ajvw2
Disease:thrombosi	Target:platelet_gpiib/iiia_receptor	Drug:ajvw2
Disease:thrombosi	Target:gpiib/iiia_receptor	Drug:ajvw2
Disease:thrombosi	Target:integrin_alphaiibbeta3	Drug:ajvw2
Disease:thrombosi	Target:mrna_of_integrin_beta_3	Drug:dmp-728
Disease:thrombosi	Target:itgb3_(mrna)	Drug:dmp-728
Disease:thrombosi	Target:cd61_(mrna)	Drug:dmp-728
Disease:thrombosi	Target:integrin_beta3_(mrna)	Drug:dmp-728
Disease:thrombosi	Target:platelet_membrane_glycoprotein_iiia_(mrna)	Drug:dmp-728
Disease:thrombosi	Target:gpiiia_(mrna)	Drug:dmp-728
Disease:thrombosi	Target:stuart_factor	Drug:bibt986
Disease:thrombosi	Target:stuart-prower_factor	Drug:bibt986
Disease:thrombosi	Target:factor_x	Drug:bibt986
Disease:thrombosi	Target:coagulation_factor_x	Drug:bibt986
Disease:thrombosi	Target:fxa	Drug:bi-11634
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:bi-11634
Disease:thrombosi	Target:coagulation_factor_xa	Drug:bi-11634
Disease:thrombosi	Target:factor_xa	Drug:bi-11634
Disease:thrombosi	Target:thrombin	Drug:nu-172
Disease:thrombosi	Target:prothrombin	Drug:nu-172
Disease:thrombosi	Target:coagulation_factor_ii	Drug:nu-172
Disease:thrombosi	Target:coagulation_factor_xa	Drug:rwj-671818
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:rwj-671818
Disease:thrombosi	Target:fxa	Drug:rwj-671818
Disease:thrombosi	Target:prothrombin	Drug:rwj-671818
Disease:thrombosi	Target:thrombin	Drug:rwj-671818
Disease:thrombosi	Target:factor_xa	Drug:rwj-671818
Disease:thrombosi	Target:coagulation_factor_ii	Drug:rwj-671818
Disease:thrombosi	Target:fxa	Drug:ave-3247
Disease:thrombosi	Target:activated_coagulation_factor_x	Drug:ave-3247
Disease:thrombosi	Target:coagulation_factor_xa	Drug:ave-3247
Disease:thrombosi	Target:factor_xa	Drug:ave-3247
Disease:thrombosi	Target:thrombin-activable_fibrinolysis_inhibitor	Drug:azd-9684
Disease:thrombosi	Target:cpu	Drug:azd-9684
Disease:thrombosi	Target:carboxypeptidase_b2	Drug:azd-9684
Disease:thrombosi	Target:pcpb	Drug:azd-9684
Disease:thrombosi	Target:tafi	Drug:azd-9684
Disease:thrombosi	Target:carboxypeptidase_u	Drug:azd-9684
Disease:thrombosi	Target:plasma_carboxypeptidase_b	Drug:azd-9684
Disease:amyotrophic_lateral_sclerosi	Target:mrna_of_copper_zinc_superoxide_dismutase_1	Drug:isis-sod1
Disease:amyotrophic_lateral_sclerosi	Target:mrna_of_superoxide_dismutase_1	Drug:isis-sod1
Disease:amyotrophic_lateral_sclerosi	Target:mrna_of_superoxide_dismutase_[cu-zn]	Drug:isis-sod1
Disease:amyotrophic_lateral_sclerosi	Target:reactive_oxygen_specie	Drug:procysteine
Disease:severe_coronary_heart_disease	Target:c-fgr	Drug:fgf-1
Disease:severe_coronary_heart_disease	Target:basic_fibroblast_growth_factor_receptor_1	Drug:fgf-1
Disease:severe_coronary_heart_disease	Target:bfgf-r	Drug:fgf-1
Disease:severe_coronary_heart_disease	Target:cd331_antigen	Drug:fgf-1
Disease:severe_coronary_heart_disease	Target:fms-like_tyrosine_kinase_2	Drug:fgf-1
Disease:severe_coronary_heart_disease	Target:fgfr-1	Drug:fgf-1
Disease:hypertension	Target:angiotensin_1_receptor	Drug:saralasin
Disease:hypertension	Target:type-1_angiotensin_ii_receptor	Drug:saralasin
Disease:hypertension	Target:at1ar	Drug:saralasin
Disease:hypertension	Target:type-2_angiotensin_ii_receptor	Drug:saralasin
Disease:hypertension	Target:at1	Drug:saralasin
Disease:hypertension	Target:angiotensin_ii_receptor_1	Drug:saralasin
Disease:hypertension	Target:angiotensin_ii_receptor_2	Drug:saralasin
Disease:hypertension	Target:at2	Drug:saralasin
Disease:hypertension	Target:endonuclease	Drug:sch-34826
Disease:hypertension	Target:endonuclease	Drug:cgs-25462
Disease:hypertension	Target:guanylate_cyclase	Drug:pl-3994
Disease:hypertension	Target:alpha_1_adrenoceptor	Drug:sun-9221
Disease:hypertension	Target:5-ht_2_receptor	Drug:sun-9221
Disease:hypertension	Target:amylin_receptor	Drug:ac-625
Disease:hypertension	Target:endothelin_a_receptor	Drug:fr139317
Disease:hypertension	Target:endothelin-1_receptor	Drug:fr139317
Disease:hypertension	Target:eta_receptor	Drug:fr139317
Disease:hypertension	Target:endothelin_receptor_a	Drug:fr139317
Disease:hypertension	Target:eta-r	Drug:fr139317
Disease:hypertension	Target:het-ar	Drug:fr139317
Disease:hypertension	Target:et-a	Drug:fr139317
Disease:hypertension	Target:type-2_angiotensin_ii_receptor	Drug:ps433540
Disease:hypertension	Target:angiotensin_ii_receptor_2	Drug:ps433540
Disease:hypertension	Target:at2	Drug:ps433540
Disease:hypertension	Target:alpha_2_adrenoceptor	Drug:rilmenidine
Disease:hypertension	Target:adrenergic_receptor	Drug:terbutyline
Disease:hypertension	Target:angiotensin_ii_receptor	Drug:dup-532
Disease:hypertension	Target:et-a	Drug:bms-248360
Disease:hypertension	Target:at1ar	Drug:bms-248360
Disease:hypertension	Target:type-1_angiotensin_ii_receptor	Drug:bms-248360
Disease:hypertension	Target:eta-r	Drug:bms-248360
Disease:hypertension	Target:at1	Drug:bms-248360
Disease:hypertension	Target:endothelin_a_receptor	Drug:bms-248360
Disease:hypertension	Target:endothelin-1_receptor	Drug:bms-248360
Disease:hypertension	Target:angiotensin_ii_receptor_1	Drug:bms-248360
Disease:hypertension	Target:eta_receptor	Drug:bms-248360
Disease:hypertension	Target:endothelin_receptor_a	Drug:bms-248360
Disease:hypertension	Target:angiotensin_1_receptor	Drug:bms-248360
Disease:hypertension	Target:het-ar	Drug:bms-248360
Disease:hypertension	Target:alpha_adrenoceptor	Drug:gyki-12743
Disease:hypertension	Target:alpha-1a_adrenergic_receptor	Drug:naftopidil
Disease:hypertension	Target:renin	Drug:spp-676
Disease:hypertension	Target:angiotensinogenase	Drug:spp-676
Disease:hypertension	Target:renin,_renal	Drug:spp-676
Disease:hypertension	Target:renin	Drug:vtp-27999
Disease:hypertension	Target:angiotensinogenase	Drug:vtp-27999
Disease:hypertension	Target:renin,_renal	Drug:vtp-27999
Disease:hypertension	Target:angiotensin_ii_receptor	Drug:da-727
Disease:hypertension	Target:alpha-1_adrenergic_receptor	Drug:urapidil
Disease:hypertension	Target:alpha1-adrenoceptor	Drug:urapidil
Disease:hypertension	Target:subtype_c2	Drug:indoramin
Disease:hypertension	Target:alpha-1a_adrenergic_receptor	Drug:indoramin
Disease:hypertension	Target:alpha-2b_adrenoreceptor	Drug:indoramin
Disease:hypertension	Target:alpha-1d_adrenergic_receptor	Drug:indoramin
Disease:hypertension	Target:alpha_1d-adrenoceptor	Drug:indoramin
Disease:hypertension	Target:alpha-2b_adrenergic_receptor	Drug:indoramin
Disease:hypertension	Target:alpha-2b_adrenoceptor	Drug:indoramin
Disease:hypertension	Target:alpha_1d-adrenoreceptor	Drug:indoramin
Disease:hypertension	Target:alpha_adrenergic_receptor_1a	Drug:indoramin
Disease:hypertension	Target:angiotensin_1_receptor	Drug:tak-591
Disease:hypertension	Target:type-1_angiotensin_ii_receptor	Drug:tak-591
Disease:hypertension	Target:at1ar	Drug:tak-591
Disease:hypertension	Target:type-2_angiotensin_ii_receptor	Drug:tak-591
Disease:hypertension	Target:at1	Drug:tak-591
Disease:hypertension	Target:angiotensin_ii_receptor_1	Drug:tak-591
Disease:hypertension	Target:angiotensin_ii_receptor_2	Drug:tak-591
Disease:hypertension	Target:at2	Drug:tak-591
Disease:hypertension	Target:angiotensin-converting_enzyme	Drug:ilepatril
Disease:hypertension	Target:cd10	Drug:ilepatril
Disease:hypertension	Target:dipeptidyl_carboxypeptidase_i	Drug:ilepatril
Disease:hypertension	Target:common_acute_lymphocytic_leukemia_antigen	Drug:ilepatril
Disease:hypertension	Target:nep	Drug:ilepatril
Disease:hypertension	Target:neprilysin	Drug:ilepatril
Disease:hypertension	Target:enkephalinase	Drug:ilepatril
Disease:hypertension	Target:neutral_endopeptidase_24.11	Drug:ilepatril
Disease:hypertension	Target:ace	Drug:ilepatril
Disease:hypertension	Target:kininase_ii	Drug:ilepatril
Disease:hypertension	Target:cd143_antigen	Drug:ilepatril
Disease:hypertension	Target:calla	Drug:ilepatril
Disease:hypertension	Target:neutral_endopeptidase	Drug:ilepatril
Disease:hypertension	Target:calcium_channel	Drug:cd-349
Disease:hypertension	Target:beta-3_adrenergic_receptor	Drug:bucindolol
Disease:hypertension	Target:beta-2_adrenoreceptor	Drug:bucindolol
Disease:hypertension	Target:beta-1_adrenergic_receptor	Drug:bucindolol
Disease:hypertension	Target:beta-1_adrenoceptor	Drug:bucindolol
Disease:hypertension	Target:beta-1_adrenoreceptor	Drug:bucindolol
Disease:hypertension	Target:beta3ar	Drug:bucindolol
Disease:hypertension	Target:beta-3_adrenoreceptor	Drug:bucindolol
Disease:hypertension	Target:beta-2_adrenoceptor	Drug:bucindolol
Disease:hypertension	Target:beta-2_adrenergic_receptor	Drug:bucindolol
Disease:hypertension	Target:beta3-ar	Drug:bucindolol
Disease:hypertension	Target:beta-3_adrenoceptor	Drug:bucindolol
Disease:hypertension	Target:angiotensin_ii_receptor	Drug:e-4177
Disease:hypertension	Target:renin	Drug:cp-80794
Disease:hypertension	Target:angiotensinogenase	Drug:cp-80794
Disease:hypertension	Target:renin,_renal	Drug:cp-80794
Disease:hypertension	Target:renin	Drug:rs-8891
Disease:hypertension	Target:angiotensinogenase	Drug:rs-8891
Disease:hypertension	Target:renin,_renal	Drug:rs-8891
Disease:hypertension	Target:type-2_angiotensin_ii_receptor	Drug:mp-157
Disease:hypertension	Target:angiotensin_ii_receptor_2	Drug:mp-157
Disease:hypertension	Target:at2	Drug:mp-157
Disease:hypertension	Target:calcium_channel	Drug:sm-6586
Disease:hypertension	Target:renin	Drug:zankiren
Disease:hypertension	Target:angiotensinogenase	Drug:zankiren
Disease:hypertension	Target:renin,_renal	Drug:zankiren
Disease:hypertension	Target:beta_adrenoceptor	Drug:bopindolol
Disease:hypercalcemia	Target:rna_synthesi	Drug:plicamycin
Disease:solid_tumor	Target:memapsin-2	Drug:tak-070
Disease:solid_tumor	Target:beta-secretase	Drug:tak-070
Disease:solid_tumor	Target:membrane-associated_aspartic_protease_2	Drug:tak-070
Disease:solid_tumor	Target:transmembrane_aspartic_protease	Drug:tak-070
Disease:solid_tumor	Target:aspartyl_protease_2	Drug:tak-070
Disease:solid_tumor	Target:beta-site_abetapp-cleaving_enzyme	Drug:tak-070
Disease:solid_tumor	Target:asp2	Drug:tak-070
Disease:solid_tumor	Target:bace	Drug:tak-070
Disease:solid_tumor	Target:beta-site_amyloid_precursor_protein_cleaving_enzyme	Drug:tak-070
Disease:solid_tumor	Target:tcell_activation_antigen_cd27	Drug:cdx-1127
Disease:solid_tumor	Target:cd27	Drug:cdx-1127
Disease:solid_tumor	Target:t14	Drug:cdx-1127
Disease:solid_tumor	Target:tumor_necrosis_factor_receptor_superfamily_member_7	Drug:cdx-1127
Disease:solid_tumor	Target:cd27l_receptor	Drug:cdx-1127
Disease:solid_tumor	Target:cd27_antigen	Drug:cdx-1127
Disease:hyperuricosuria	Target:urate_transporter	Drug:aa-193
Disease:endometrial_cancer	Target:folate_binding_protein-e39	Drug:gale-301
Disease:advanced_solid_tumour	Target:facilitates_chromatin_transcription_complex_(fact)	Drug:cbl0137
Disease:advanced_solid_tumour	Target:brd4	Drug:ten-010
Disease:advanced_solid_tumour	Target:brd2	Drug:ten-010
Disease:advanced_solid_tumour	Target:bromodomain-containing_protein_3	Drug:ten-010
Disease:advanced_solid_tumour	Target:brd3	Drug:ten-010
Disease:advanced_solid_tumour	Target:bromodomain_testis-specific_protein	Drug:ten-010
Disease:advanced_solid_tumour	Target:cancer/testis_antigen_9	Drug:ten-010
Disease:advanced_solid_tumour	Target:brdt	Drug:ten-010
Disease:advanced_solid_tumour	Target:ct9	Drug:ten-010
Disease:advanced_solid_tumour	Target:protein_hunk1	Drug:ten-010
Disease:advanced_solid_tumour	Target:bromodomain-containing_protein_2	Drug:ten-010
Disease:advanced_solid_tumour	Target:o27.1.1	Drug:ten-010
Disease:advanced_solid_tumour	Target:really_interesting_new_gene_3_protein	Drug:ten-010
Disease:advanced_solid_tumour	Target:ring3like_protein	Drug:ten-010
Disease:advanced_solid_tumour	Target:bromodomain-containing_protein_4	Drug:ten-010
Disease:colorectal_cancer	Target:epidermal_growth_factor_receptor	Drug:sym004
Disease:colorectal_cancer	Target:epidermal_growth_factor_receptor_erbb-1	Drug:sym004
Disease:colorectal_cancer	Target:egfr-tk	Drug:sym004
Disease:colorectal_cancer	Target:receptor_protein-tyrosine_kinase_erbb-1	Drug:sym004
Disease:colorectal_cancer	Target:egfr	Drug:sym004
Disease:colorectal_cancer	Target:epidermal_growth_factor_receptor-tyrosine_kinase	Drug:sym004
Disease:colorectal_cancer	Target:pkb	Drug:gsk2141795
Disease:colorectal_cancer	Target:dna_topoisomerase_1	Drug:le-sn38
Disease:colorectal_cancer	Target:top1	Drug:le-sn38
Disease:colorectal_cancer	Target:dna_topoisomerase_i	Drug:le-sn38
Disease:colorectal_cancer	Target:erk_activator_kinase_2	Drug:msc1936369b
Disease:colorectal_cancer	Target:map_kinase_kinase_2	Drug:msc1936369b
Disease:colorectal_cancer	Target:mapk/erk_kinase_2	Drug:msc1936369b
Disease:colorectal_cancer	Target:dual_specificity_mitogenactivated_protein_kinase_kinase_2	Drug:msc1936369b
Disease:colorectal_cancer	Target:mapkk_2	Drug:msc1936369b
Disease:colorectal_cancer	Target:mek_2	Drug:msc1936369b
Disease:colorectal_cancer	Target:tnf-related_apoptosis-inducing_ligand_receptor_2	Drug:conatumumab
Disease:colorectal_cancer	Target:cd262	Drug:conatumumab
Disease:colorectal_cancer	Target:trail-r2	Drug:conatumumab
Disease:colorectal_cancer	Target:death_receptor_5	Drug:conatumumab
Disease:colorectal_cancer	Target:tumor_necrosis_factor_receptor_superfamily_member_10b	Drug:conatumumab
Disease:colorectal_cancer	Target:trail_receptor_2	Drug:conatumumab
Disease:colorectal_cancer	Target:ctla-4	Drug:cp-675206
Disease:colorectal_cancer	Target:cytotoxic_t-lymphocyte_protein_4	Drug:cp-675206
Disease:colorectal_cancer	Target:cytotoxic_t-lymphocyte-associated_antigen_4	Drug:cp-675206
Disease:colorectal_cancer	Target:cd152	Drug:cp-675206
Disease:colorectal_cancer	Target:topoisomerase-i	Drug:gl-331
Disease:colorectal_cancer	Target:dna_topoisomerase_i	Drug:gl-331
Disease:colorectal_cancer	Target:epidermal_growth_factor_receptor	Drug:imc-c225
Disease:colorectal_cancer	Target:epidermal_growth_factor_receptor_erbb-1	Drug:imc-c225
Disease:colorectal_cancer	Target:egfr-tk	Drug:imc-c225
Disease:colorectal_cancer	Target:receptor_protein-tyrosine_kinase_erbb-1	Drug:imc-c225
Disease:colorectal_cancer	Target:egfr	Drug:imc-c225
Disease:colorectal_cancer	Target:epidermal_growth_factor_receptor-tyrosine_kinase	Drug:imc-c225
Disease:colorectal_cancer	Target:tumor_endothelial_marker_1	Drug:morab-004
Disease:colorectal_cancer	Target:endosialin	Drug:morab-004
Disease:colorectal_cancer	Target:cd248	Drug:morab-004
Disease:colorectal_cancer	Target:vegfa	Drug:rg7221
Disease:colorectal_cancer	Target:vascular_endothelial_growth_factor_a	Drug:rg7221
Disease:colorectal_cancer	Target:vascular_permeability_factor	Drug:rg7221
Disease:colorectal_cancer	Target:vegf-a	Drug:rg7221
Disease:ulcerative_coliti	Target:inhibiting_expression_of_interleukin-1_(il-1),_interleukin-6_(il-6)_and_tumor_necrosis_factor_(tnf)	Drug:tak-114
Disease:ulcerative_coliti	Target:cd49d	Drug:vedolizmab
Disease:alzheimer's_disease	Target:presenilin-stabilization_factor-like	Drug:e2012
Disease:alzheimer's_disease	Target:aph	Drug:e2012
Disease:alzheimer's_disease	Target:gamma-secretase	Drug:e2012
Disease:alzheimer's_disease	Target:psfl	Drug:e2012
Disease:alzheimer's_disease	Target:aph-1beta	Drug:e2012
Disease:alzheimer's_disease	Target:metabotropic_glutamate_receptor_3	Drug:bci-632
Disease:alzheimer's_disease	Target:glutamate_receptor_mglu2	Drug:bci-632
Disease:alzheimer's_disease	Target:mglur3	Drug:bci-632
Disease:alzheimer's_disease	Target:group_ii_metabotropic_glutamate_receptor	Drug:bci-632
Disease:alzheimer's_disease	Target:mglur2	Drug:bci-632
Disease:alzheimer's_disease	Target:group_iii_metabotropic_glutamate_receptor	Drug:bci-632
Disease:alzheimer's_disease	Target:metabotropic_glutamate_receptor_2	Drug:bci-632
Disease:alzheimer's_disease	Target:presenilin-stabilization_factor-like	Drug:pf-03084014
Disease:alzheimer's_disease	Target:aph	Drug:pf-03084014
Disease:alzheimer's_disease	Target:gamma-secretase	Drug:pf-03084014
Disease:alzheimer's_disease	Target:psfl	Drug:pf-03084014
Disease:alzheimer's_disease	Target:aph-1beta	Drug:pf-03084014
Disease:alzheimer's_disease	Target:gamma_secretase	Drug:mk-0752
Disease:alzheimer's_disease	Target:neurotransmitter_receptor	Drug:abt-288
Disease:alzheimer's_disease	Target:amyloid_precursor_protein_secretase	Drug:chf-5074
Disease:alzheimer's_disease	Target:hh3r	Drug:gsk239512
Disease:alzheimer's_disease	Target:histamine_h3_receptor	Drug:gsk239512
Disease:alzheimer's_disease	Target:histamine_receptor_3	Drug:gsk239512
Disease:alzheimer's_disease	Target:g_protein-coupled_receptor_97	Drug:gsk239512
Disease:alzheimer's_disease	Target:memapsin-2	Drug:rg7129
Disease:alzheimer's_disease	Target:beta-secretase	Drug:rg7129
Disease:alzheimer's_disease	Target:membrane-associated_aspartic_protease_2	Drug:rg7129
Disease:alzheimer's_disease	Target:transmembrane_aspartic_protease	Drug:rg7129
Disease:alzheimer's_disease	Target:aspartyl_protease_2	Drug:rg7129
Disease:alzheimer's_disease	Target:beta-site_abetapp-cleaving_enzyme	Drug:rg7129
Disease:alzheimer's_disease	Target:asp2	Drug:rg7129
Disease:alzheimer's_disease	Target:bace	Drug:rg7129
Disease:alzheimer's_disease	Target:beta-site_amyloid_precursor_protein_cleaving_enzyme	Drug:rg7129
Disease:alzheimer's_disease	Target:nicotinic_acetylcholine_receptor	Drug:abt-418
Disease:alzheimer's_disease	Target:nicotinic_acetylcholine_receptor_beta2	Drug:abt-418
Disease:alzheimer's_disease	Target:alpha-4_nachr	Drug:abt-418
Disease:alzheimer's_disease	Target:nicotinic_acetylcholine_receptor_alpha4	Drug:abt-418
Disease:alzheimer's_disease	Target:beta-2_nachr	Drug:abt-418
Disease:alzheimer's_disease	Target:neuronal_acetylcholine_receptor_protein,_alpha-4_chain	Drug:abt-418
