TTDDRUGID	LNM	Indication	ICD9	ICD10
DCL000753	Cizolirtine	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000754	CJ-13610	Asthma	493	J45
DCL000755	CNS-5161	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000757	CP-316,311	Major depressive disorder; Severe mood disorder	296, 296.2, 296.3	F30-F39, F32, F33
DCL000758	NBI-34041	Eating disorders stimulate food consumption anxiety	307.5	F50
DCL000759	CS-003	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000760	CX-516	Schizophrenia; Pervasive developmental disorder	295, 299	F20, F84
DCL000762	Cyclosporin A	Ocular allergy	360-379	H00-H59
DCL000763	DA-5018	Diabetic neuropathy; Postherpetic neuralgia	053.19, 250, 250.6, 356.0, 356.8	B02.2, E08-E13, E10.4, E11.4, E13.4, G44.847, G53.0, G64, G90.0
DCL000764	DA-7101	Gram-positive bacteria infection; Gram-negative bacteria infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL000765	Dapivirine	HIV infections	001-139, 042	A00-B99, B20
DCL000766	DDP-225	Chronic functional vomiting	536.2	R11.10
DCL000766	DDP-225	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000767	Deforolimus	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DCL000768	Desvenlafaxine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DCL000768	Desvenlafaxine	Major depressive disorder; Menopausal staging; Vasomotor symptoms	296, 296.2, 296.3, 627.2	F30-F39, F32, F33, N95.0, N95.1
DCL000770	Dexanabinol	Traumatic brain injury	800.0-801.9, 803.0-804.9, 850.0-854.1	S06
DCL000771	Dexefaroxan	Parkinson's disease	332	F02.3, G20
DCL000771	Dexefaroxan	Schizophrenia	295, 710.0	F20, M32
DCL000772	Dextofisopam	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000773	Dextromethorphan+quinidine	Painful diabetic neuropathy	250.6,338,780	E10.4, E11.4, E13.4, G89, R52
DCL000774	Diquafosol	Dry eye disease	370.33	H16.229
DCL000776	DNK-333	Irritable bowel syndrome with diarrhoea	493, 564.1, 787.91	A09, J45, K58, K59.1
DCL000778	Doripenem	Gram-positive bacteria infection; Gram-negative bacteria infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL000778	Doripenem	Urinary tract infections	599	N39.0
DCL000779	DOV 21947	Severe mood disorders	296	F30-F39
DCL000780	DOV-216303	Severe mood disorders	296	F30-F39
DCL000782	Doxercalciferol	Chronic Kidney disease; Kidney transplantation	403, 580-589, 585.1-585.5, 585.9, 996	N00-N29, N18, T86
DCL000783	Dronedarone	Angina	413	I20
DCL000783	Dronedarone	Atrial fibrillation	272, 427.31	E78, I48
DCL000785	DU-127090	Parkinson's disease	332	F02.3, G20
DCL000786	E 7080	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL000787	E 7974	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL000788	E-2007	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E08-E13, E10.4, E11.4, E13.4, G64, G90.0
DCL000788	E-2007	Parkinson's disease	332	F02.3, G20
DCL000789	E-5842	Schizophrenia	295, 710.0	F20, M32
DCL000790	EAA-090	Painful diabetic neuropathy	250.6,338,780	E10.4, E11.4, E13.4, G89, R52
DCL000792	Eltrombopag	Idiopathic thrombocytopenic purpura	287.31	D69.3
DCL000792	Eltrombopag	Thrombocytopenia	287.3, 287.4, 287.5	D69.6, P61.0
DCL000793	Elzasonan hydrochloride	Severe mood disorders	296	F30-F39
DCL000794	Emapunil	Anxiety disorder	300, 311	F32, F40-F42
DCL000795	Entacapone+levodopa+carbidopa	Parkinson's disease; Restless legs syndrome	332, 333.94	F02.3, G20, G25.8
DCL000796	EP-51216	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10, I11, I12, I13, I15, I50
DCL000797	EP-51389	Eating disorder	278, 307.5, 401, 428.0	E66, F50, I10, I11, I12, I13, I15, I50
DCL000798	Epothilon	Breast cancer; Ovarian cancer	174, 175, 183	C50, C56
DCL000799	Epratuzumab	Systemic lupus erythematosus; Graft rejection in heart transplantation	695, 710.0, 996	L51-L54, M32, T86
DCL000800	Ezlopitant	Emesis; Irritable bowel syndrome	564.1, 787	K58, R11
DCL000801	Farampator	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DCL000801	Farampator	Schizophrenia	295, 710.0	F20, M32
DCL000802	Farletuzumab	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL000803	FG-3019	Diabetic nephropathy	250, 250.4, 580-599	E08-E13, E10.2, E11.2, E13.2, N00-N29
DCL000803	FG-3019	Type 2 diabetes; Idiopathic pulmonary fibrosis	250, 250.00, 250.02, 515, 516.3, 709.2	E08-E13, E11, J84.1, L90.5
DCL000804	Fingolimod	Multiple sclerosis	340	G35
DCL000804	Fingolimod	Primary progressive multiple sclerosis	340	G35
DCL000805	Flibanserin	Female sexual dysfunction	302.7	F52, R37
DCL000805	Flibanserin	Mood disorder	.	F30-F39
DCL000807	Fontolizumab	Inflammatory bowel disease; Rheumatoid arthritis	555, 556, 710-719, 714	K50, K51, M00-M25, M05-M06
DCL000808	FTY720	Multiple sclerosis	340	G35
DCL000809	Fumaric acid	Pustular palmoplantar psoriasis; Multiple sclerosis	340, 696, 696.1	G35, L40, L40.3
DCL000811	Ganaxolone	Epilepsy	290-319, 345	F01-F99, G40
DCL000812	GC-1008	Idiopathic pulmonary fibrosis	516.3	J84.1
DCL000813	Gepirone ER	Depression	311	F32
DCL000816	Glufosfamide	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL000817	GMC-283	Schizophrenia	295, 710.0	F20, M32
DCL000818	Golimumab	Inflammatory bowel disease	555, 556	K50, K51
DCL000818	Golimumab	Psoriasis	696	L40
DCL000818	Golimumab	Rheumatold arthritis; Psoriatic arthritis; Ankylosing spondylitis	696.0, 710-719, 714, 720.0	L40.5, M00-M25, M05-M06, M07, M08.1, M45
DCL000819	GPI-1485	Parkinson's disease	332	F02.3, G20
DCL000820	GPI-16072	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000821	GRN163	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DCL000822	GSK-159797	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000823	GSK233705	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000824	GSK372475	ADHD; Severe mood disorders	296, 314.00, 314.01	F30-F39, F90
DCL000825	GSK642444	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000826	GSK-644784	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000827	GSK-677954	Non-alcoholic fatty liver disease	571.8	K76.0
DCL000828	GSK-681323	Rheumatold arthritis; Chronic obstructive pulmonary disease	460-519, 490-492, 494-496, 710-719, 714	J00-J99, J40-J44, J47, M00-M25, M05-M06
DCL000829	GTP-010	Irritable bowel syndrome; Dyspepsia	536.8, 564.1	K30, K58
DCL000830	GW-406381	Osteoarthritis; Neuropathic pain	338, 356.0, 356.8, 715,780	G64, G90.0, M15-M19, M47, R52, G89
DCL000831	GW-427353	Urinary incontinence	788.3	N39.3, N39.4, R32
DCL000832	GW-493838	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000833	GW842470X	Atopic dermatitis	691.8, 692.9	L20, L20-L30
DCL000834	GW876008	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000835	HCV-796	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL000836	HMR-2934	Schizophrenia	295, 710.0	F20, M32
DCL000837	HP-184	Multiple sclerosis	340	G35
DCL000838	Ibudilast	Opioid-related disorders; Diabetic neuropathy	250, 250.6, 292, 304.0, 305.50, 356.0, 356.8	E08-E13, E10.4, E11.4, E13.4, F11, G64, G90.0
DCL000839	IC-485	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000840	Iclaprim	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL000842	IL-18BP	B-cell Non-hodgkin's Lymphoma; Rheumatoid arthritis	200, 202, 202.8, 710-719, 714	C81-C96, C82-C85, M00-M25, M05-M06
DCL000843	Iloperidone	Schizophrenia	295, 710.0	F20, M32
DCL000844	INCB018424	Myelofibrosis	208.9, 289.83, 709.2	C91-C95, C94.4, D47.1, L90.5
DCL000844	INCB018424	Myelofibrosis; Polycythemia vera	289.0, 289.83, 776.4	C94.4, D47.1, D75.1, P61.1
DCL000846	Indacaterol	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000847	Inolimomab	Heart transplant rejection	996	T86
DCL000848	INS-37217	Cystic fibrosis	277.0, 709.2	E84, L90.5
DCL000849	IP-751	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000850	Ipamorelin	Postoperative ileus	537.2, 560.1, 560.31, 777.1, 777.4	K31.5, K56.0, K56.3, K56.7, P76.1
DCL000851	ISIS 301012	Dyslipidemia	272	E78
DCL000852	ITF2357	Myelofibrosis; Essential thrombocythemia; Polycythemia vera	238.71, 289.0, 289.83, 289.9, 776.4	C94.4, D47.1, D47.3, D75.1, D75.2, D75.8, P61.1
DCL000853	K-832	Rheumatold arthritis	714	M05-M06
DCL000854	KB-6806	Chemotherapy-induced emesis	787	R11
DCL000855	KDS-2000	Postherpetic neuralgia	53.19	B02.2, G44.847, G53.0
DCL000856	KW-3902	Acute and chronic heart failure	428	I50
DCL000857	L-759274	Severe mood disorders; Depression	296, 311	F30-F39, F32
DCL000858	Lacosamide	Convulsions	780.3	R56.0
DCL000858	Lacosamide	Epilepsy	290-319, 345	F01-F99, G40
DCL000858	Lacosamide	Painful diabetic neuropathy	250.6,338,780	E10.4, E11.4, E13.4, G89, R52
DCL000859	Lamectacin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL000860	Laquinamod	Multiple sclerosis	340	G35
DCL000861	LAS-34273	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000862	LE-300	Schizophrenia	295, 710.0	F20, M32
DCL000864	Lerisetron	Nausea; Vomiting; Testicular germ cell tumor; Emesis	140-199, 183, 186, 210-229, 220, 222.0, 787, 787.0	C00-C75, C56, C62, C7A, C7B, D10-D36, D27, D29.2, D3A, R11
DCL000866	LGD-4665	Immune thrombocytopenic purpura; Idiopathic thrombocytopenic purpura	287.31	D69.3
DCL000867	Licarbazepine	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
DCL000868	Linaclotide	Constipation; Postoperative ileus	537.2, 560.1, 560.31, 564.0, 777.1, 777.4	K31.5, K56.0, K56.3, K56.7, K59.0, P76.1
DCL000869	Liraglutide	Obesity	278	E66
DCL000869	Liraglutide	Type 2 diabetes	250.00, 250.02	E11
DCL000870	Lixivaptan	Congestive heart failure	428, 428.0	I50
DCL000870	Lixivaptan	Euvolemic hyponatremia; Hypervolemic hyponatremia	276.1	E87.1
DCL000871	LJP-1082	Hughes syndrome	289.81	D68.8
DCL000872	Lorcaserin	Drug abuse	303-304	F10-F19
DCL000872	Lorcaserin	Obesity	278	E66
DCL000873	Lurasidone hydrochloride	Schizophrenia	295, 710.0	F20, M32
DCL000875	LymphoStat B	Rheumatold arthritis	714	M05-M06
DCL000875	LymphoStat B	Systemic lupus erythematosus	695, 710.0	L51-L54, M32
DCL000876	Magnesium	Acute ischemic stroke	434.91	I61-I63
DCL000877	MCI-186	Amyotrophic Lateral Sclerosis	335.20, 434.91	G12.2, I61-I63
DCL000878	MD-1100	Constipation	564	K59.0
DCL000878	MD-1100	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000879	MEM-1003	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
DCL000879	MEM-1003	Dementia	290-294, 331.0	F01-F07, G30
DCL000880	MEM-3454	Schizophrenia	295, 710.0	F20, M32
DCL000882	Milveterol+Fluticasone	Asthma; Chronic obstructive pulmonary disease	490-492, 493, 494-496	J40-J44, J45, J47
DCL000883	MLN1202	Metastatic cancer; Unspecified adult solid tumor	140-199, 140-229, 210-229	C00-C75, C00-C96, C7A, C7B, D10-D36, D3A
DCL000883	MLN1202	Multiple sclerosis	340	G35
DCL000884	MLN3897	Rheumatold arthritis	714	M05-M06
DCL000885	MN-305	Severe mood disorders	296	F30-F39
DCL000887	MRE-0094	Diabetic foot ulcer	707	L88-L89
DCL000888	MS-377	Schizophrenia	295, 710.0	F20, M32
DCL000889	N-0923	Parkinson's disease	332	F02.3, G20
DCL000890	N-5984	Obesity; Type 2 diabetes	250, 250.00, 250.02, 278	E08-E13, E11, E66
DCL000892	NCX-4016	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
DCL000892	NCX-4016	Type 2 diabetes; Early nephropathy; Claudication	250, 250.00, 250.02, 250.4, 338, 437.6, 443.9, 453, 580-599, 671.5, 671.9,780	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
DCL000893	NE-100	Schizophrenia	295, 710.0	F20, M32
DCL000894	Nepadutant	Infantile colics; Postoperative ileus	537.2, 560.1, 560.31, 777.1, 777.4, 789.7	K31.5, K56.0, K56.3, K56.7, P76.1, R10.4
DCL000895	Neramexane	Cancer pain	140-229, 338,780	C00-C96, R52, G89
DCL000896	NERI IV	Severe mood disorders	296	F30-F39
DCL000897	Netoglitazone	Non-alcoholic fatty liver disease	571.8	K76.0
DCL000898	NGD 94-1	Schizophrenia	295, 710.0	F20, M32
DCL000899	NS 1209	Epilepsy	290-319, 345	F01-F99, G40
DCL000899	NS 1209	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000899	NS 1209	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DCL000900	NS 2359	ADHD; Depression; Cocaine addiction	303-304, 304.2, 311, 314.00, 314.01	F10-F19, F14.2, F32, F90
DCL000901	NVA237	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000902	NVP-LAQ824	General leukaemia cancer	204-208	C91-C95
DCL000902	NVP-LAQ824	Severe mood disorders	296	F30-F39
DCL000903	Oblimersen	Advanced Melanoma; Multiple myeloma	172, 203.0	C43, C90.0
DCL000903	Oblimersen	Cancer	140-229	C00-C96
DCL000904	Ocaperidone	Schizophrenia	295, 710.0	F20, M32
DCL000904	Ocaperidone	Schizophrenia; Schizoaffective disorders	295, 295.70	F20, F25
DCL000905	ONO-2506	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
DCL000906	ONO-6126	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000907	OPC-14523	Bulimia nervosa; Severe mood disorders	296, 307.51	F30-F39, F50.2
DCL000907	OPC-14523	Female sexual dysfunction	302.7	F52, R37
DCL000908	Oravescent fentanyl	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000910	ORG 34517/34850	Severe mood disorders	296	F30-F39
DCL000911	Org-23366	Schizophrenia	295, 710.0	F20, M32
DCL000912	Oritavancin	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL000912	Oritavancin	Gram-positive bacterial infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL000913	OrM3	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000914	Panobinostat	Primary myelofibrosis; Post-polycythemia vera; Post-essential thrombocytopenia; Cutaneous T cell-lymphomas	203.0, 287.3, 287.4, 287.5, 289.0, 289.83, 776.4	C90.0, C94.4, D47.1, D69.6, D75.1, P61.0, P61.1
DCL000914	Panobinostat	Type 2 diabetes	250.00, 250.02	E11
DCL000915	Pardoprunox	Advanced Stage Parkinson's Disease	332	F02.3, G20
DCL000916	PD-157533	Schizophrenia	295, 710.0	F20, M32
DCL000917	PD-157695	Schizophrenia	295, 710.0	F20, M32
DCL000918	PD-158771	Schizophrenia	295, 710.0	F20, M32
DCL000919	PD-165167	Schizophrenia	295, 710.0	F20, M32
DCL000921	PegCNTF	Obesity	278	E66
DCL000922	Plerixafor	Human immunodeficiency virus infection	279.3	D84.9
DCL000922	Plerixafor	Non-Hodgkin's Lymphoma; Late-stage Solid Tumors	140-199, 200, 202, 202.8, 210-229	C00-C75, C7A, C7B, C81-C96, C82-C85, D10-D36, D3A
DCL000923	Pexacerfont	Anxiety disorder	300, 311	F32, F40-F42
DCL000924	PF-00547659	Ulcerative colitis; Inflammatory bowel disease	555, 556, 556.9	K50, K50-K52, K51
DCL000925	Pfizer 10	Female sexual dysfunction	302.7	F52, R37
DCL000926	Pfizer 4	Female sexual dysfunction	302.7	F52, R37
DCL000927	PG-116800	Osteoarthritis	715	M15-M19, M47
DCL000928	Phentermine+topiramate	Obesity	278	E66
DCL000929	Phenylbutyrate	Urea cycle disorders	270.6	E72.2
DCL000930	Pimavanserin	Parkinson's disease; Psychosis	290-299, 332	F02.3, F20-F29, G20
DCL000930	Pimavanserin	Schizophrenia	295, 710.0	F20, M32
DCL000931	Pinaverium bromide	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000932	Pirfenidone	Idiopathic pulmonary fibrosis	516.3	J84.1
DCL000934	PNU-177864	Schizophrenia	295, 710.0	F20, M32
DCL000935	PNU-282987	Schizophrenia	295, 710.0	F20, M32
DCL000936	Pramlintide	Type 1/2 diabetes	250, 278	E08-E13, E66
DCL000937	PRX-00023	Severe mood disorders	296	F30-F39
DCL000938	PRX-08066	Pulmonary arterial hypertension	416	I27.0, I27.2
DCL000939	Pumosetrag	Gastro-oesophageal reflux	530	K21
DCL000939	Pumosetrag	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000940	PYY3-36	Obesity	278	E66
DCL000942	QVA-149	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000943	R 673	Depression	311	F32
DCL000944	R1503	Rheumatold arthritis	714	M05-M06
DCL000945	R348	Psoriasis	696	L40
DCL000947	Radafaxine	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DCL000948	Radaxafine HCl	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000949	Ralfinamide	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000950	Rambazole	Psoriasis	696	L40
DCL000951	RDEA 594	Gout	274.00274.1274.8274.9	M10
DCL000953	Rhucin	Hereditary angioedema	277.6	D84.1
DCL000954	Renzapride	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000955	Reparixin	Ischemia-reperfusion injury; Lung transplantation; Graft rejection in heart transplantation	996, 996.84	T86, T86.81
DCL000956	Resiniferatoxin	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000957	Revatropate	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000958	RGH-896	Diabetic peripheral neuropathic pain	250.6, 338,780	E10.4, E11.4, E13.4, R52, G89
DCL000959	H-1152	Pulmonary arterial hypertension	416	I27.0, I27.2
DCL000960	RhTPO	Sarcoma; Idiopathic thrombocytopenic purpura	287.31	D69.3
DCL000961	Rilonacept	Acute gout glare	274	M10
DCL000961	Rilonacept	Arthritis	710-719	M00-M25
DCL000962	Rimonbant	Obesity	278	E66
DCL000964	Roflumilast	Asthma	493	J45
DCL000964	Roflumilast	Atopic dermatitis	691.8, 692.9	L20, L20-L30
DCL000964	Roflumilast	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000965	Rolofylline	Heart failure	410, 428	I21, I22, I50
DCL000967	RPSGL-Ig	Delayed graft function; Heart transplantation	996	T86
DCL000968	R-sibutramine metabolite	Depression; Attention deficit hyperactivity disorder	311, 314.00, 314.01	F32, F90
DCL000969	RTI-336	Cocaine addiction	304.2	F14.2
DCL000971	S-777469	Atopic dermatitis	691.8, 692.9	L20, L20-L30
DCL000972	Safinamide	Idiopathic parkinson's disease	332	F02.3, G20
DCL000972	Safinamide	Parkinson's disease	332	F02.3, G20
DCL000973	Sarizotan	Parkinson's disease	332	F02.3, G20
DCL000974	Satavaptan	Acute and chronic heart failure	428	I50
DCL000975	SB-265610	Asthma	493	J45
DCL000975	SB-265610	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000976	SB-277011	Schizophrenia	295, 710.0	F20, M32
DCL000978	SB-683699	Multiple sclerosis	340	G35
DCL000979	SCH 420814	Parkinson's disease	332	F02.3, G20
DCL000980	SCH-527123	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000981	SDZ-MAR-327	Psychotic disorders	290-299	F20-F29
DCL000981	SDZ-MAR-327	Schizophrenia	295, 710.0	F20, M32
DCL000982	Seletracetam	Epilepsy	290-319, 345	F01-F99, G40
DCL000983	Sibenadet	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL000985	Siplizumab	Cancer; Psoriasis	140-229, 696	C00-C96, L40
DCL000985	Siplizumab	Lymphoma	202.8, 208.9	C81-C96, C91-C95
DCL000986	Sivelestat sodium hydrate	Acute lung injury; Acute respiratory distress syndrome	518.5, 518.82	J80
DCL000987	SLV-308	Parkinson's disease	332	F02.3, G20
DCL000988	SLV-310	Schizophrenia	295, 710.0	F20, M32
DCL000989	SLV-313	Schizophrenia	295, 710.0	F20, M32
DCL000990	SLV-317	Inflammatory bowel disease	555, 556	K50, K51
DCL000990	SLV-317	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DCL000992	SLV320	Heart failure	410, 428	I21, I22, I50
DCL000993	SLV-323	Irritable bowel syndrome; Chemo therapy induced emesis; Gastric motility disorder	536.8, 564.1, 787	K30, K58, R11
DCL000994	SNDX-275	Hodgkin's lymphoma; Multiple myeloma	201, 202.8, 203.0	C81, C81-C96, C90.0
DCL000995	SNS-595	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DCL000996	Sotrastaurin acetate	Renal Transplantation	279.5, 996	D89.8, T86
DCL000997	SPI-376	Schizophrenia	295, 710.0	F20, M32
DCL000998	SPI-860	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL000999	SR46349B	Sleep initiation and maintenance disorders; Primary Insomnia; Schizophrenia	295, 307.41, 307.42, 327.0, 780.51, 780.52	F20, F51.0, G47.0
DCL001000	SSR-125047	Schizophrenia	295, 710.0	F20, M32
DCL001001	SSR149415	Anxiety disorder	300, 311	F32, F40-F42
DCL001001	SSR149415	Major depressive disorder; Anxiety	300	F40-F42
DCL001002	SSR-181507	Schizophrenia	295, 710.0	F20, M32
DCL001003	Statins	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DCL001004	SU5416	Multiple myeloma; HIV Infections	001-139, 042, 203.0	A00-B99, B20, C90.0
DCL001004	SU5416	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DCL001005	Sulfasalizine	Rheumatold arthritis	714	M05-M06
DCL001006	Sumanirole	Parkinson's disease	332	F02.3, G20
DCL001007	SUN-11031	Anorexia nervosa cachexia	307.1, 799.4	F50.0-F50.1, R64
DCL001008	SUN13834	Gram-positive bacteria infection; Gram-negative bacteria infection	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DCL001009	T-62	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL001010	TA-2005	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
DCL001011	TAK-637	Depression	311	F32
DCL001013	Talampanel	Epilepsy; Parkinson's disease	332, 345	F02.3, G20, G40
DCL001014	TC-1698	Schizophrenia	295, 710.0	F20, M32
DCL001015	Tebipenem	Nicotine dependence; Obesity	278, 305.1	E66, F17
DCL001016	Telbermin	Diabetic foot ulcer	707	L88-L89
DCL001017	TG101348	Myelofibrosis	208.9, 289.83, 709.2	C91-C95, C94.4, D47.1, L90.5
DCL001018	TgAAC-94	Psoriatic arthritis; Rheumatoid arthritis	696.0, 710-719, 714	L40.5, M00-M25, M05-M06, M07
DCL001019	TGBA01AD	Severe mood disorders	296	F30-F39
DCL001020	Trafermin	Periodontitis	523.5	K05.4
DCL001024	TRIDMAC	Severe mood disorders	296	F30-F39
DCL001025	TRO-19622	Chemotherapy-induced peripheral neuropathy	356.0, 356.8	G64, G90.0
DCL001026	TRX4	Type 1 diabetes; Psoriasis	250, 250.01, 696	E08-E13, E10, L40
DCL001027	TV-4710	Systemic lupus erythematosus	695, 710.0	L51-L54, M32
DCL001028	U-99194A	Schizophrenia	295, 710.0	F20, M32
DCL001029	U-99363E	Schizophrenia	295, 710.0	F20, M32
DCL001030	Ustekinumab	Crohn's disease; Inflammatory bowel disease	555, 556	K50, K51
DCL001030	Ustekinumab	Moderate-to-severe plaque psoriasis	696	L40
DCL001030	Ustekinumab	Psoriasis	696	L40
DCL001031	Valproate	Alcohol use disorders	303	F10.2
DCL001032	Vanoxerine	Cocaine addiction	304.2	F14.2
DCL001033	Vasoactive intestinal peptide	Chronic obstructive pulmonary disease; Pulmonary arterial hypertension	401, 416.0, 490-492, 494-496	I10, I11, I12, I13, I15, I27.0, I27.2, J40-J44, J47
DCL001034	VEGF Trap	Exudative age-related macular degeneration	362.5	H35.3
DCL001036	Vilazodone	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DCL001037	Voclosporin	Kidney diseases; Heart transplantation	996	T86
DCL001037	Voclosporin	Psoriasis	696	L40
DCL001038	XL019	Cancer	140-229	C00-C96
DCL001038	XL019	Polycythemia vera	238.4	D45
DCL001039	XL784	Diabetic nephropathy	250, 250.4, 580-599	E08-E13, E10.2, E11.2, E13.2, N00-N29
DCL001040	XTL-2125	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001041	Y-931	Schizophrenia	295, 710.0	F20, M32
DCL001042	ZD-3638	Schizophrenia	295, 710.0	F20, M32
DCL001044	ABT-894	Neuropathic pain	356.0, 356.8	G64, G90.0
DCL001045	ISIS 104838	Crohn's disease	555	K50
DCL001045	ISIS 104838	Rheumatold arthritis	714	M05-M06
DCL001046	OGX-427	Breast cancer; Ovarian cancer; Bladder cancer; Prostate cancer; Lung cancer	140-229, 162, 183, 188	C00-C96, C33-C34, C56, C67
DCL001046	OGX-427	Cancer	140-229	C00-C96
DCL001047	MBI 1121	Cancer	140-229	C00-C96
DCL001048	TPI ASM8	Asthma	493	J45
DCL001049	HGTV43	HIV infections	001-139, 042	A00-B99, B20
DCL001051	AVI-4065	Hepatitis virus infection	573.3	K75.9
DCL001053	Mipomersen	Familial hypercholesterolemia	272	E78.0
DCL001054	VRX496	Acquired immune deficiency syndrome	42	B20
DCL001056	ISIS 14803	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DCL001057	AVI4126	Cancer	140-229	C00-C96
DCL001058	AP12009	Colorectal cancer	153, 154	C18-C21
