TTDTargetID	Target_Name	Indication	ICD9	ICD10
TTDR00161	Platelet activating factor	Cerebral edema	348.5	G93.6
TTDR00161	Platelet activating factor	Cerebral ischemia	459.89	I99.8
TTDR00161	Platelet activating factor	Gut barrier dysfunction	.	.
TTDR00161	Platelet activating factor	Hepatic warm ischemic injury	.	.
TTDR00161	Platelet activating factor	Hypotension	458, 796.3	I95
TTDR00161	Platelet activating factor	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDR00161	Platelet activating factor	Ischemia reperfusion injuries	459.89	I99.8
TTDR00161	Platelet activating factor	Male infertility asthenospermia	606, 628	N46, N97.0
TTDR00161	Platelet activating factor	Mild pancreatitis	577.0-577.1	K85, K86.0K86.1
TTDR00161	Platelet activating factor	Myocardial ischemia; Reperfusion injury	459.89	I99.8
TTDR00161	Platelet activating factor	Necrotizing enterocolitis	.	.
TTDR00161	Platelet activating factor	Ocular inflammation	.	H00-H59
TTDR00161	Platelet activating factor	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR00161	Platelet activating factor	Septic shock	785.52	A41.9
TTDR00161	Platelet activating factor	Shock hemorrhagic	.	.
TTDR00161	Platelet activating factor	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Analgesics	338	R52
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Angina pectoris	413	I20
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Cardiac dysrhythmias	427	I47-I49
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Epilepsy	290-319, 345	F01-F99, G40
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Heart failure	410, 428	I21, I22, I50
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Hypoinsulinemia	.	.
TTDS00161	Voltage-dependent T-type calcium channel alpha-1G subunit	Neuropathic pain	356.0, 356.8	G64, G90.0
TTDC00162	Glycogen synthase kinase-3 beta	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDC00162	Glycogen synthase kinase-3 beta	Bipolar affective disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8	F31
TTDC00162	Glycogen synthase kinase-3 beta	Brain injury	.	S09.90
TTDC00162	Glycogen synthase kinase-3 beta	Immunodeficiency	279.3	D84.9
TTDC00162	Glycogen synthase kinase-3 beta	Ischemia	459.89	I99.8
TTDC00162	Glycogen synthase kinase-3 beta	Non-insulin-dependent diabetes mellitus	250	E08-E13
TTDS00163	Calcium channel	Analgesics	338	R52
TTDS00163	Calcium channel	Cerebral ischemia	459.89	I99.8
TTDS00163	Calcium channel	Epilepsy	290-319, 345	F01-F99, G40
TTDS00163	Calcium channel	Head injury	800-879	S00.0S09
TTDS00163	Calcium channel	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00163	Calcium channel	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDS00163	Calcium channel	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
TTDS00163	Calcium channel	Unstable angina	411.1	I20.0
TTDC00163	Protein kinase C, beta type	B-lineage malignancies	140-239	C00-C96
TTDC00163	Protein kinase C, beta type	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDC00163	Protein kinase C, beta type	Diabetic retinopathy	250.5	H36, E10.3, E11.3, E13.3
TTDC00163	Protein kinase C, beta type	Macular edema	362.01, 362.53	H35.8
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Cancer	140-229	C00-C96
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Heart failure	410, 428	I21, I22, I50
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Immunodeficiency	279.3	D84.9
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Proliferative diseases	.	.
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Psoriasis	696	L40
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Restenosis	.	I51.89
TTDC00164	Dual specificity mitogen-activated protein kinase kinase	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
TTDS00164	Extracellular calcium-sensing receptor	Hyperparathyroidism	252.02, 588.81	E21.1
TTDR00164	Neuronal acetylcholine receptor protein, beta-4 chain	Specific cognitive deficits associated with aging and neurological diseases	.	.
TTDC00165	Cell division protein kinase 4	Cancer	140-229	C00-C96
TTDC00165	Cell division protein kinase 4	Insulin-dependent diabetes mellitus	250	E08-E13
TTDC00165	Cell division protein kinase 4	Squamous cell carcinoma	199	C44
TTDR00165	D-alanine--D-alanine ligase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDS00165	Ryanodine receptor 1	Malignant hyperthermia	995.86	T88.3
TTDC00166	Cell division control protein 2 homolog	Cancer	140-229	C00-C96
TTDC00166	Cell division control protein 2 homolog	Malaria	84	B50-B54
TTDR00166	Glutamate-1-semialdehyde aminomutase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR00166	Glutamate-1-semialdehyde aminomutase	Vitamin B6 deficiency	266.1	E53.1
TTDS00167	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00167	Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDR00167	Dihydroorotase	Malaria	84	B50-B54
TTDC00168	Antiapoptotic protein BCL-XL	Anaplastic large cell lymphomas	202.8	C81-C96
TTDC00168	Antiapoptotic protein BCL-XL	Colorectal cancer	153, 154	C18-C21
TTDC00168	Antiapoptotic protein BCL-XL	Mesothelioma	163	C45
TTDR00168	Cannabinoid receptor	Atherosclerosis	414.0, 440	I70
TTDR00168	Cannabinoid receptor	Essential hypertension	401	I10, I11, I12, I13, I15
TTDR00168	Cannabinoid receptor	Heart failure	410, 428	I21, I22, I50
TTDR00168	Cannabinoid receptor	Pulmonary hypertension	416	I27.0, I27.2
TTDR00168	Cannabinoid receptor	Subarachnoid hemorrhage	430, 852.0, 852.1	I60, P10.3, S06.6
TTDS00168	Prostaglandin E2 receptor, EP2 subtype	Cerebral oxidative damage	.	.
TTDC00169	Cell division protein kinase 6	Cancer	140-229	C00-C96
TTDR00169	Heat shock protein 70	Arthritis	710-719	M00-M25
TTDR00169	Heat shock protein 70	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDR00169	Heat shock protein 70	Polyglutamine diseases	.	.
TTDS00169	Prostaglandin F2-alpha receptor	Bone disorders	710-739	M00-M99
TTDS00169	Prostaglandin F2-alpha receptor	Dysmenorrhea	625.3	N94.4-N94.6
TTDS00169	Prostaglandin F2-alpha receptor	Glaucoma	365	H40-H42
TTDS00169	Prostaglandin F2-alpha receptor	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDS00169	Prostaglandin F2-alpha receptor	Ocular hypertension	365.04	H40.0
TTDC00170	Phosphodiesterase isozyme 4; PDE4	Asthma	493	J45
TTDC00170	Phosphodiesterase isozyme 4; PDE4	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDC00170	Phosphodiesterase isozyme 4; PDE4	Osteosarcoma	170	C40-C41
TTDS00170	Prostacyclin receptor	Analgesics	338	R52
TTDS00170	Prostacyclin receptor	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDS00170	Prostacyclin receptor	Inflammatory pain	338,780	R52, G89
TTDR00170	Putative tryptase delta	Asthma	493	J45
TTDR00171	CAD protein	Cancer	140-229	C00-C96
TTDS00171	Fibroblast growth factor receptor 2	Angiogenesis	.	.
TTDC00171	Guanylyl cyclase C	Colorectal cancer	153, 154	C18-C21
TTDR00172	Cholinephosphate cytidylyltransferase	Cancer	140-229	C00-C96
TTDR00172	Cholinephosphate cytidylyltransferase	Malaria	84	B50-B54
TTDS00172	Serotonin re-uptake	Anxiety disorders	300	F40-F42
TTDS00172	Serotonin re-uptake	Depression	311	F32
TTDS00172	Serotonin re-uptake	Dysphoria	.	.
TTDS00172	Serotonin re-uptake	Obesity	278	E66
TTDS00172	Serotonin re-uptake	Psychiatric illness	.	.
TTDS00172	Serotonin re-uptake	Social phobias	300.23	F40.1
TTDR00173	Adenylate cyclase, type II	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDR00173	Adenylate cyclase, type II	Heart failure	410, 428	I21, I22, I50
TTDR00173	Adenylate cyclase, type II	Vascular diseases	325, 430-459	G45-G46, I60-I95
TTDS00174	Neuraminidase	Influenza virus infection	487, 488	J10, J11
TTDR00174	Potassium channel	Cerebral vasospasm	443.9	I73.9
TTDR00174	Potassium channel	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDS00175	Influenza A virus M2 protein	Influenza A virus infections	487, 488	J10, J11
TTDR00175	Integrin beta-3	Platelet adhesion	.	.
TTDC00176	Placenta growth factor	Angiogenesis	.	.
TTDC00176	Placenta growth factor	Cancer	140-229	C00-C96
TTDC00176	Placenta growth factor	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDC00176	Placenta growth factor	Myocardial infarction	410, 434.91	I21, I22, I61-I63
TTDC00176	Placenta growth factor	Myocardial ischemia	410, 459.89	I21, I22, I99.8
TTDR00176	Vasopressin V1 receptor	Syndrome of inappropriate secretion of antidiuretic hormone	.	.
TTDS00177	Fatty-acid amide hydrolase	Analgesics	338	R52
TTDS00177	Fatty-acid amide hydrolase	Anesthetic	338	R52
TTDS00177	Fatty-acid amide hydrolase	Anxiety disorders	300	F40-F42
TTDS00177	Fatty-acid amide hydrolase	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDS00177	Fatty-acid amide hydrolase	Sedation	338	R52
TTDR00177	Immunoglobulin A	Arthritis	710-719	M00-M25
TTDC00177	Interleukin-13	Airway hyperreactivity in asthma	493	J45
TTDC00177	Interleukin-13	Allergy	995.3	T78.4
TTDC00177	Interleukin-13	Asthma	493	J45
TTDC00177	Interleukin-13	Atopic disease	691.8	L20
TTDC00177	Interleukin-13	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDC00177	Interleukin-13	Ocular allergy	360-379	H00-H59
TTDC00177	Interleukin-13	Parasitic infections of the eye	001-139	A00-B99
TTDC00177	Interleukin-13	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR00178	DNA gyrase A subunit	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR00178	DNA gyrase A subunit	Urinary tract infections	599	N39.0
TTDC00178	Protein kinase C, theta type	Immune disease	.	.
TTDC00178	Protein kinase C, theta type	T cell leukemias	208.9	C91-C95
TTDC00179	P2Y purinoceptor 2	Cystic fibrosis	277.0, 709.2	E84, L90.5
TTDC00179	P2Y purinoceptor 2	Dry eye	370.33	H16.229
TTDC00179	P2Y purinoceptor 2	Glaucoma	365	H40-H42
TTDC00179	P2Y purinoceptor 2	Oesophageal cancer	140-229	C00-C96
TTDS00179	Prolyl 4-hydroxylase alpha subunit	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00179	Prolyl 4-hydroxylase alpha subunit	Vitamin C deficiency	267	E54
TTDR00179	V beta 3 T-cell receptor	Arthritis	710-719	M00-M25
TTDR00179	V beta 3 T-cell receptor	Autoimmune diseases	279	D84.9, M35.9
TTDC00180	Amyloid beta A4 protein	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDC00180	Amyloid beta A4 protein	Dementia	290-294, 331.0	F01-F07, G30
TTDC00180	Amyloid beta A4 protein	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
TTDR00180	Transforming growth factor receptor b	Gastric cancer	140-229, 151, 188	C00-C96, C16, C67
TTDR00180	Transforming growth factor receptor b	Liver cancers	155.2	C22.9
TTDS00181	Angiotensin-converting enzyme	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDS00181	Angiotensin-converting enzyme	Heart failure	410, 428	I21, I22, I50
TTDS00181	Angiotensin-converting enzyme	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDS00181	Angiotensin-converting enzyme	Vascular diseases	325, 430-459	G45-G46, I60-I95
TTDC00181	Protein kinase C	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
TTDC00181	Protein kinase C	Cancer	140-229	C00-C96
TTDC00181	Protein kinase C	Proteinuria-induced tubular injury	.	.
TTDC00181	Protein kinase C	Vascular diseases	325, 430-459	G45-G46, I60-I95
TTDR00181	Transforming growth factor alpha	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDS00182	D-alanyl-D-alanine carboxypeptidase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDC00182	Protein kinase C, alpha type	Leukemia	208.9	C91-C95
TTDC00182	Protein kinase C, alpha type	Prostate cancer	140-229, 185	C00-C96, C61
TTDR00182	T-cell receptor beta chain V region CTL-L17	Arthritis	710-719	M00-M25
TTDR00182	T-cell receptor beta chain V region CTL-L17	Rheumatoid arthritis	710-719, 714	M05-M06
TTDS00183	Cysteinyl leukotriene receptor 1	Asthma	493	J45
TTDR00183	Gamma-aminobutyric acid gated chloride channel	Convulsions	780.3	R56.0
TTDR00183	Gamma-aminobutyric acid gated chloride channel	Dermacentor variabilis infection	001-139	A00-B99
TTDC00183	Neuropilin-1	Cancer	140-229	C00-C96
TTDC00184	Beta-3 adrenergic receptor	Cardiac arrhythmias	427	I47-I49
TTDC00184	Beta-3 adrenergic receptor	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDC00184	Beta-3 adrenergic receptor	Gain weight in morbid obesity	278	E66
TTDC00184	Beta-3 adrenergic receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDC00184	Beta-3 adrenergic receptor	Hypertonicity of bladder	188	C67
TTDC00184	Beta-3 adrenergic receptor	Non-insulin-dependent diabetes mellitus	250	E08-E13
TTDC00184	Beta-3 adrenergic receptor	Obesity	278	E66
TTDC00184	Beta-3 adrenergic receptor	Overactive bladder disorder	188, 596.51	C67, N32.81
TTDR00184	Galanin receptor type 1	Convulsions	780.3	R56.0
TTDR00184	Galanin receptor type 1	Obesity	278	E66
TTDC00185	5-hydroxytryptamine 6 receptor	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
TTDC00185	5-hydroxytryptamine 6 receptor	Nausea and vomiting	787, 787.0	R11
TTDC00185	5-hydroxytryptamine 6 receptor	Pruritus in chronic liver disease	570-574, 698	K70-K77, L29
TTDC00185	5-hydroxytryptamine 6 receptor	Schizophrenia	295, 710.0	F20, M32
TTDS00185	Adenosine receptor	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR00185	N-myc proto-oncogene protein	Cancer	140-229	C00-C96
TTDS00186	Adenosine A1 receptor	Analgesics	338	R52
TTDS00186	Adenosine A1 receptor	Asthma	493	J45
TTDS00186	Adenosine A1 receptor	Cardiac arrhythmias	427	I47-I49
TTDS00186	Adenosine A1 receptor	Chronic ileitis	555-558	K50-K52
TTDS00186	Adenosine A1 receptor	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDS00186	Adenosine A1 receptor	Inflammatory bowel disease	555, 556	K50, K51
TTDS00186	Adenosine A1 receptor	Non-insulin-dependent diabetes mellitus	250	E08-E13
TTDS00186	Adenosine A1 receptor	Obesity-related insulin resistance	.	.
TTDS00186	Adenosine A1 receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDS00186	Adenosine A1 receptor	Renal failure	584, 585	N17, N18, N19
TTDC00186	Interleukin-9	Asthma	493	J45
TTDR00186	Soluble guanylate cyclase	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDR00186	Soluble guanylate cyclase	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDR00186	Soluble guanylate cyclase	Heart failure	410, 428	I21, I22, I50
TTDR00186	Soluble guanylate cyclase	Unstable angina	411.1	I20.0
TTDR00186	Soluble guanylate cyclase	Vascular diseases	325, 430-459	G45-G46, I60-I95
TTDS00187	Adenosine A2a receptor	Analgesics	338	R52
TTDS00187	Adenosine A2a receptor	Brain injury	.	S09.90
TTDS00187	Adenosine A2a receptor	Depression	311	F32
TTDS00187	Adenosine A2a receptor	Dyskinesia	333.8	G24.9
TTDS00187	Adenosine A2a receptor	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDS00187	Adenosine A2a receptor	Ischemia reperfusion injuries	459.89	I99.8
TTDS00187	Adenosine A2a receptor	Neurodegenerative diseases	330-337	G30-G32
TTDS00187	Adenosine A2a receptor	Neuropsychiatric disorders	.	.
TTDS00187	Adenosine A2a receptor	Oxygen-induced retinopathy	362.0-362.2	H35-H35.2
TTDS00187	Adenosine A2a receptor	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDS00187	Adenosine A2a receptor	Parkinson's disease	332	F02.3, G20
TTDS00187	Adenosine A2a receptor	Renal diseases	580-599	N00-N39
TTDC00187	Tyrosine-protein kinase JAK2	Hodgkin's disease	201	C81
TTDC00187	Tyrosine-protein kinase JAK2	Leukemia	208.9	C91-C95
TTDC00187	Tyrosine-protein kinase JAK2	Vascular diseases	325, 430-459	G45-G46, I60-I95
TTDS00188	Adenosine A2b receptor	Asthma	493	J45
TTDR00188	HIV-2 reverse transcriptase	Human immunodeficiency virus infection	279.3	D84.9
TTDR00188	HIV-2 reverse transcriptase	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDC00188	Tumor necrosis factor receptor superfamily member 5	Cancer	140-229	C00-C96
TTDC00188	Tumor necrosis factor receptor superfamily member 5	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDC00188	Tumor necrosis factor receptor superfamily member 5	Non-small cell lung cancer	140-229, 162, 204.0	C00-C96, C33-C34, C91.0
TTDS00189	Adenosine A3 receptor	Cancer	140-229	C00-C96
TTDS00189	Adenosine A3 receptor	Chronic ileitis	555-558	K50-K52
TTDS00189	Adenosine A3 receptor	Depression	311	F32
TTDS00189	Adenosine A3 receptor	Inflammatory bowel disease	555, 556	K50, K51
TTDS00189	Adenosine A3 receptor	Myocardial ischemia; Reperfusion injury	459.89	I99.8
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Analgesics	338	R52
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Cancer	140-229	C00-C96
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Neurodegenerative diseases	330-337	G30-G32
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Neuropathic pain	356.0, 356.8	G64, G90.0
TTDC00189	Tumor necrosis factor receptor superfamily member 16	Traumatic neuroma formation	.	.
TTDC00190	High affinity interleukin-8 receptor A	Acute respiratory distress syndrome	518.5, 518.82	J80
TTDC00190	High affinity interleukin-8 receptor A	Asthma	493	J45
TTDC00190	High affinity interleukin-8 receptor A	Human cytomegalovirus infections	001-139, 078.5	A00-B99, B25
TTDC00190	High affinity interleukin-8 receptor A	Lung injury	.	S00-T98
TTDR00190	Tumor necrosis factor receptor	Crohn's disease	555	K50
TTDR00190	Tumor necrosis factor receptor	Rheumatoid arthritis	710-719, 714	M05-M06
TTDS00191	Poly [ADP-ribose] polymerase-1	Asthma	493	J45
TTDS00191	Poly [ADP-ribose] polymerase-1	Cancer	140-229	C00-C96
TTDS00191	Poly [ADP-ribose] polymerase-1	Chronic obstructive pulmonary disease	490-492, 494-496	J40-J44, J47
TTDS00191	Poly [ADP-ribose] polymerase-1	Diabetic cardiovascular dysfunction	250	E08-E13
TTDS00191	Poly [ADP-ribose] polymerase-1	Diabetic endothelial dysfunction	250	E08-E13
TTDS00191	Poly [ADP-ribose] polymerase-1	Multiple sclerosis	340	G35
TTDS00191	Poly [ADP-ribose] polymerase-1	Traumatic brain injury	800.0-801.9, 803.0-804.9, 850.0-854.1	S06
TTDS00191	Poly [ADP-ribose] polymerase-1	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDS00192	Glutathione S-transferase	Asthma	493	J45
TTDS00192	Glutathione S-transferase	Cancer	140-229	C00-C96
TTDS00192	Glutathione S-transferase	Helminth infection	001-139	A00-B99
TTDS00192	Glutathione S-transferase	Malaria	84	B50-B54
TTDS00192	Glutathione S-transferase	Multiple sclerosis	340	G35
TTDS00192	Glutathione S-transferase	Neurodegenerative diseases	330-337	G30-G32
TTDS00192	Glutathione S-transferase	Schistosomiasis	120	B65
TTDS00192	Glutathione S-transferase	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR00192	Tumor necrosis factor receptor superfamily member 8	Cancer	140-229	C00-C96
TTDR00192	Tumor necrosis factor receptor superfamily member 8	Hodgkin's disease	201	C81
TTDC00192	mRNA of Intercellular adhesion molecule-1	Asthma	493	J45
TTDC00192	mRNA of Intercellular adhesion molecule-1	Autoimmune diseases	279	D84.9, M35.9
TTDC00192	mRNA of Intercellular adhesion molecule-1	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDC00192	mRNA of Intercellular adhesion molecule-1	Multiple sclerosis	340	G35
TTDC00193	Neuropeptide Y receptor type 1	Analgesics	338	R52
TTDC00193	Neuropeptide Y receptor type 1	Anxiety disorders	300	F40-F42
TTDC00193	Neuropeptide Y receptor type 1	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDC00193	Neuropeptide Y receptor type 1	Convulsions	780.3	R56.0
TTDC00193	Neuropeptide Y receptor type 1	Drug dependence	303-305	F10-F19
TTDC00193	Neuropeptide Y receptor type 1	Metabolic disease	270-279	E70-E89
TTDC00193	Neuropeptide Y receptor type 1	Obesity	278	E66
TTDC00193	Neuropeptide Y receptor type 1	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDC00193	Neuropeptide Y receptor type 1	Rhinitis	472.0, 477	J00, J30, J31.0
TTDR00193	Tumor necrosis factor receptor superfamily member 11B	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
TTDC00194	Hepatocyte growth factor	Renal fibrosis	709.2	L90.5
TTDR00194	Phosphotransketolase	Thiamine deficiency	.	E51
TTDS00194	Substance-P receptor	Analgesics	338	R52
TTDS00194	Substance-P receptor	Asthma	493	J45
TTDS00194	Substance-P receptor	Mood affective disorders	.	.
TTDS00194	Substance-P receptor	Neuropathic pain	356.0, 356.8	G64, G90.0
TTDS00194	Substance-P receptor	Visceral pain	338,780	R52, G89
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Atherosclerosis	414.0, 440	I70
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Cervical cancer	140-229, 180	C00-C96, C53
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Coronary heart disease	414	I25.1
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Dyslipidemia	272	E78
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Head and neck squamous cell carcinomas	199	C44
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Hypercholesterolemia	272	E78.0
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Hypertriglyceridemia	272.1, 427	E78.1, E78.2, E78.3, I47-I49
TTDS00195	3-hydroxy-3-methylglutaryl-coenzyme A reductase	Myocardial infarction	410, 434.91	I21, I22, I61-I63
TTDR00195	Nicotinic acetylcholine receptor alpha2 / alpha3	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDR00195	Nicotinic acetylcholine receptor alpha2 / alpha3	Analgesics	338	R52
TTDR00195	Nicotinic acetylcholine receptor alpha2 / alpha3	Drug dependence	303-305	F10-F19
TTDR00195	Nicotinic acetylcholine receptor alpha2 / alpha3	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
TTDC00195	Telomerase reverse transcriptase	Barrett's esophageal adenocarcinoma	140-199, 150	C00-C75, C15, C7A, C7B
TTDC00195	Telomerase reverse transcriptase	Cancer	140-229	C00-C96
TTDC00195	Telomerase reverse transcriptase	Malaria	84	B50-B54
TTDC00195	Telomerase reverse transcriptase	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
TTDS00196	Aldosterone receptor	Atherosclerosis	414.0, 440	I70
TTDS00196	Aldosterone receptor	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDS00196	Aldosterone receptor	Heart failure	410, 428	I21, I22, I50
TTDS00196	Aldosterone receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDC00196	Tumor necrosis factor ligand superfamily member 13B	Autoimmune diseases	279	D84.9, M35.9
TTDC00196	Tumor necrosis factor ligand superfamily member 13B	Rheumatic diseases	.	.
TTDC00196	Tumor necrosis factor ligand superfamily member 13B	Systemic lupus erythematosus	695, 710.0	L51-L54, M32
TTDR00197	Chymase	Asthma	493	J45
TTDR00197	Chymase	Atopic dermatitis	691.8, 692.9	L20, L20-L30
TTDR00197	Chymase	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDR00197	Chymase	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDR00197	Chymase	Myocardial infarction	410, 434.91	I21, I22, I61-I63
TTDC00197	P-selectin	Inflammatory skin disorder	.	.
TTDC00197	P-selectin	Stroke	434.91, 437.6, 453, 671.5, 671.9	I61-I63, I80-I82
TTDR00198	C-ets-1 protein	Cancer	140-229	C00-C96
TTDS00198	Endothelin-1 receptor	Atopic asthma	493	J45
